SPMW COSIM PASS (4096/4096 tokens, 0 errors)
SPMW CYCLES total=517 first_out=187 first_in=1
SPMW XFORM 1 done_cycle=235 first_in=1
SPMW XFORM 10 done_cycle=384 first_in=1
SPMW XFORM 11 done_cycle=400 first_in=1
SPMW XFORM 12 done_cycle=416 first_in=1
SPMW XFORM 13 done_cycle=432 first_in=1
SPMW XFORM 14 done_cycle=448 first_in=1
SPMW XFORM 15 done_cycle=469 first_in=1
SPMW XFORM 16 done_cycle=517 first_in=1
SPMW XFORM 2 done_cycle=256 first_in=1
SPMW XFORM 3 done_cycle=272 first_in=1
SPMW XFORM 4 done_cycle=288 first_in=1
SPMW XFORM 5 done_cycle=304 first_in=1
SPMW XFORM 6 done_cycle=320 first_in=1
SPMW XFORM 7 done_cycle=336 first_in=1
SPMW XFORM 8 done_cycle=352 first_in=1
SPMW XFORM 9 done_cycle=368 first_in=1
