SPMW COSIM PASS (4096/4096 tokens, 0 errors)
SPMW CYCLES total=731 first_out=202 first_in=1
SPMW XFORM 1 done_cycle=278 first_in=1
SPMW XFORM 10 done_cycle=553 first_in=1
SPMW XFORM 11 done_cycle=583 first_in=1
SPMW XFORM 12 done_cycle=612 first_in=1
SPMW XFORM 13 done_cycle=639 first_in=1
SPMW XFORM 14 done_cycle=664 first_in=1
SPMW XFORM 15 done_cycle=688 first_in=1
SPMW XFORM 16 done_cycle=731 first_in=1
SPMW XFORM 2 done_cycle=311 first_in=1
SPMW XFORM 3 done_cycle=341 first_in=1
SPMW XFORM 4 done_cycle=371 first_in=1
SPMW XFORM 5 done_cycle=402 first_in=1
SPMW XFORM 6 done_cycle=432 first_in=1
SPMW XFORM 7 done_cycle=462 first_in=1
SPMW XFORM 8 done_cycle=492 first_in=1
SPMW XFORM 9 done_cycle=522 first_in=1
