achieved_mhz,achieved_ns,activation,beats,bind_mul,bram,bram_avail,bram_pct,carry8,carry8_avail,carry8_pct,cycles,depth,design,dim,dsp,dsp_avail,dsp_pct,engine,errors,expected,ff,ff_avail,ff_pct,first_out,fixed,hi_cycles,hi_nrow,iob,iob_avail,iob_pct,kind,len,lo_cycles,lo_nrow,log,lut,lut_avail,lut_logic,lut_logic_avail,lut_logic_pct,lut_pct,lutmem,lutmem_avail,lutmem_pct,nacc,nbeat,nrow,outputs,passed,per_beat,per_row,period_ns,scale_latency,tiles,uram,uram_avail,uram_pct,util_from,wns_ns
,,none,,1,,,,,,,784,16,block,16,,,,spmw,0,,,,,228,,,,,,,cycles,16,,,sw_block-none_16_r1_l16_d16_t32.log,,,,,,,,,,1,1,1,,True,,,,,32,,,,,
,,none,,1,,,,,,,322,16,block,16,,,,spmw,0,,,,,111,,,,,,,cycles,16,,,sw_block-none_16_r1_l16_d16_t8.log,,,,,,,,,,1,1,1,,True,,,,,8,,,,,
,,none,,1,,,,,,,454,16,block,16,,,,spmw,0,,,,,154,,,,,,,cycles,256,,,sw_block-none_16_r1_l256_d16_t16.log,,,,,,,,,,16,16,1,,True,,,,,16,,,,,
,,none,,1,,,,,,,367,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,256,,,sw_block-none_16_r1_l256_d16_t4.log,,,,,,,,,,16,16,1,,True,,,,,4,,,,,
,,none,,1,,,,,,,367,16,block,16,,,,spmw,0,,,,,111,,,,,,,cycles,256,,,sw_block-none_16_r1_l256_d16_t8.log,,,,,,,,,,16,16,1,,True,,,,,8,,,,,
,,none,,1,,,,,,,415,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,256,,,sw_block-none_16_r4_l256_d16.log,,,,,,,,,,64,16,4,,True,,,,,4,,,,,
,,none,,1,,,,,,,607,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,768,,,sw_block-none_16_r4_l768_d16.log,,,,,,,,,,192,48,4,,True,,,,,4,,,,,
,,none,,1,,,,,,,479,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,256,,,sw_block-none_16_r8_l256_d16.log,,,,,,,,,,128,16,8,,True,,,,,4,,,,,
,,none,,1,,,,,,,799,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,768,,,sw_block-none_16_r8_l768_d16.log,,,,,,,,,,384,48,8,,True,,,,,4,,,,,
,,softmax,,1,,,,,,,343,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,64,,,sw_block-sm_16_r4_l64_d16.log,,,,,,,,,,16,4,4,,True,,,,,4,,,,,
,,softmax,,1,,,,,,,359,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,64,,,sw_block-sm_16_r8_l64_d16.log,,,,,,,,,,32,4,8,,True,,,,,4,,,,,
,,layernorm,,1,,,,,,,497,16,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,256,,,sw_block_16_r4_l256_d16.log,,,,,,,,,,64,16,4,,True,,,,,4,,,,,
,,layernorm,,0,,,,,,,597,16,block,16,,,,spmw,0,,,,,94,,,,,,,cycles,256,,,sw_block_16_r4_l256_d16_m0.log,,,,,,,,,,64,16,4,,True,,,,,4,,,,,
,,layernorm,,1,,,,,,,518,64,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,256,,,sw_block_16_r4_l256_d64.log,,,,,,,,,,64,16,4,,True,,,,,4,,,,,
259.6,3.852,layernorm,,1,0,2016,0.00,16350,162960,10.03,621,16,block,16,83,9024,0.92,spmw,0,,170759,2607360,6.55,78,,,,35,624,5.61,cycles,256,,,sw_block_16_r8_l256_d16.log,233725,1303680,228638,1303680,17.54,17.93,5087,600960,0.85,128,16,8,,True,,,3.333,,4,0,960,0.00,util.rpt,-0.519
306.7,3.261,layernorm,,0,0,2016,0.00,6440,162960,3.95,721,16,block,16,755,9024,8.37,spmw,0,,153869,2607360,5.90,94,,,,35,624,5.61,cycles,256,,,sw_block_16_r8_l256_d16_m0_t4_pnr.log,113341,1303680,103993,1303680,7.98,8.69,9348,600960,1.56,128,16,8,,True,,,3.333,,4,0,960,0.00,util.rpt,0.072
,,layernorm,,1,,,,,,,642,64,block,16,,,,spmw,0,,,,,78,,,,,,,cycles,256,,,sw_block_16_r8_l256_d64.log,,,,,,,,,,128,16,8,,True,,,,,4,,,,,
259.6,3.852,layernorm,,1,0,2016,0.00,16350,162960,10.03,621,16,block,16,83,9024,0.92,spmw,0,,170759,2607360,6.55,78,,,,35,624,5.61,pnr,256,,,sw_block_16_r8_l256_d16.log,233725,1303680,228638,1303680,17.54,17.93,5087,600960,0.85,128,16,8,,True,,,3.333,,4,0,960,0.00,util.rpt,-0.519
