SPMW COSIM PASS (4096/4096 tokens, 0 errors)
SPMW CYCLES total=6084 first_out=186 first_in=1
SPMW XFORM 1 done_cycle=559 first_in=1
SPMW XFORM 10 done_cycle=3871 first_in=1
SPMW XFORM 11 done_cycle=4239 first_in=1
SPMW XFORM 12 done_cycle=4607 first_in=1
SPMW XFORM 13 done_cycle=4975 first_in=1
SPMW XFORM 14 done_cycle=5343 first_in=1
SPMW XFORM 15 done_cycle=5711 first_in=1
SPMW XFORM 16 done_cycle=6084 first_in=1
SPMW XFORM 2 done_cycle=927 first_in=1
SPMW XFORM 3 done_cycle=1295 first_in=1
SPMW XFORM 4 done_cycle=1663 first_in=1
SPMW XFORM 5 done_cycle=2031 first_in=1
SPMW XFORM 6 done_cycle=2399 first_in=1
SPMW XFORM 7 done_cycle=2767 first_in=1
SPMW XFORM 8 done_cycle=3135 first_in=1
SPMW XFORM 9 done_cycle=3503 first_in=1
