SPMW COSIM PASS (4096/4096 tokens, 0 errors)
SPMW CYCLES total=10692 first_out=204 first_in=1
SPMW XFORM 1 done_cycle=852 first_in=1
SPMW XFORM 10 done_cycle=6756 first_in=1
SPMW XFORM 11 done_cycle=7412 first_in=1
SPMW XFORM 12 done_cycle=8068 first_in=1
SPMW XFORM 13 done_cycle=8724 first_in=1
SPMW XFORM 14 done_cycle=9380 first_in=1
SPMW XFORM 15 done_cycle=10036 first_in=1
SPMW XFORM 16 done_cycle=10692 first_in=1
SPMW XFORM 2 done_cycle=1508 first_in=1
SPMW XFORM 3 done_cycle=2164 first_in=1
SPMW XFORM 4 done_cycle=2820 first_in=1
SPMW XFORM 5 done_cycle=3476 first_in=1
SPMW XFORM 6 done_cycle=4132 first_in=1
SPMW XFORM 7 done_cycle=4788 first_in=1
SPMW XFORM 8 done_cycle=5444 first_in=1
SPMW XFORM 9 done_cycle=6100 first_in=1
