SPMW COSIM PASS (1024/1024 tokens, 0 errors)
SPMW CYCLES total=243 first_out=83 first_in=1
SPMW XFORM 1 done_cycle=105 first_in=1
SPMW XFORM 10 done_cycle=179 first_in=1
SPMW XFORM 11 done_cycle=187 first_in=1
SPMW XFORM 12 done_cycle=195 first_in=1
SPMW XFORM 13 done_cycle=203 first_in=1
SPMW XFORM 14 done_cycle=211 first_in=1
SPMW XFORM 15 done_cycle=221 first_in=1
SPMW XFORM 16 done_cycle=243 first_in=1
SPMW XFORM 2 done_cycle=115 first_in=1
SPMW XFORM 3 done_cycle=123 first_in=1
SPMW XFORM 4 done_cycle=131 first_in=1
SPMW XFORM 5 done_cycle=139 first_in=1
SPMW XFORM 6 done_cycle=147 first_in=1
SPMW XFORM 7 done_cycle=155 first_in=1
SPMW XFORM 8 done_cycle=163 first_in=1
SPMW XFORM 9 done_cycle=171 first_in=1
