SPMW COSIM PASS (1024/1024 tokens, 0 errors)
SPMW CYCLES total=233 first_out=85 first_in=1
SPMW XFORM 1 done_cycle=103 first_in=1
SPMW XFORM 10 done_cycle=175 first_in=1
SPMW XFORM 11 done_cycle=183 first_in=1
SPMW XFORM 12 done_cycle=191 first_in=1
SPMW XFORM 13 done_cycle=199 first_in=1
SPMW XFORM 14 done_cycle=207 first_in=1
SPMW XFORM 15 done_cycle=215 first_in=1
SPMW XFORM 16 done_cycle=233 first_in=1
SPMW XFORM 2 done_cycle=111 first_in=1
SPMW XFORM 3 done_cycle=119 first_in=1
SPMW XFORM 4 done_cycle=127 first_in=1
SPMW XFORM 5 done_cycle=135 first_in=1
SPMW XFORM 6 done_cycle=143 first_in=1
SPMW XFORM 7 done_cycle=151 first_in=1
SPMW XFORM 8 done_cycle=159 first_in=1
SPMW XFORM 9 done_cycle=167 first_in=1
