run_id,experiment_id,system,variant,M,d,groups,pe_count,dsp_count,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,cycles_per_query_row,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason
spmw_cap44_64_cosim_s0,E6,SPMW grouped,paper_grouped_4x4,64,2,2,16,16,cosim,300,ok,True,42,123,1.9219,,,,,,,,,80.4,190.7,reports/spmw_cap44_64_cosim_s0/run.json;validation/spmw_cap44_64_cosim_s0,
spmw_cap44_64_cosim_s1,E6,SPMW grouped,paper_grouped_4x4,64,2,2,16,16,cosim,300,ok,True,42,123,1.9219,,,,,,,,,80.4,190.7,reports/spmw_cap44_64_cosim_s1/run.json;validation/spmw_cap44_64_cosim_s1,
spmw_cap44_64_cosim_s2,E6,SPMW grouped,paper_grouped_4x4,64,2,2,16,16,cosim,300,ok,True,42,123,1.9219,,,,,,,,,80.4,190.7,reports/spmw_cap44_64_cosim_s2/run.json;validation/spmw_cap44_64_cosim_s2,
spmw_conv_4096_cosim_s0,E6,SPMW conventional,conventional_2pass,4096,2,1,16,16,cosim,300,ok,True,4149,8256,2.0156,,,,,,,,,126.6,412.4,reports/spmw_conv_4096_cosim_s0/run.json;validation/spmw_conv_4096_cosim_s0,
spmw_conv_4096_cosim_s1,E6,SPMW conventional,conventional_2pass,4096,2,1,16,16,cosim,300,ok,True,4149,8256,2.0156,,,,,,,,,126.6,412.4,reports/spmw_conv_4096_cosim_s1/run.json;validation/spmw_conv_4096_cosim_s1,
spmw_conv_4096_cosim_s2,E6,SPMW conventional,conventional_2pass,4096,2,1,16,16,cosim,300,ok,True,4149,8256,2.0156,,,,,,,,,126.6,412.4,reports/spmw_conv_4096_cosim_s2/run.json;validation/spmw_conv_4096_cosim_s2,
spmw_conv_4096_pnr,E6,SPMW conventional,conventional_2pass,4096,2,1,16,16,pnr_ooc,300,ok,,,,,1207,2997,16,0,0,1.333,0.0,0,142.4,685.6,reports/spmw_conv_4096_pnr/run.json;reports/spmw_conv_4096_pnr/util.rpt;reports/spmw_conv_4096_pnr/util_synth.rpt;reports/spmw_conv_4096_pnr/timing.rpt;reports/spmw_conv_4096_pnr/route.rpt;reports/spmw_conv_4096_pnr/util_hier.rpt;reports/spmw_conv_4096_pnr/vivado_pnr.log;reports/spmw_conv_4096_pnr/assemble_pnr.tcl;reports/spmw_conv_4096_pnr/clock.xdc,
spmw_conv_4096_pnr_trim,E6,SPMW conventional,conventional_2pass_paddingtiedoff,4096,2,1,16,16,pnr_ooc,300,ok,,,,,908,1729,8,0,0,1.358,0.0,0,99.0,525.0,reports/spmw_conv_4096_pnr_trim/run.json;reports/spmw_conv_4096_pnr_trim/util.rpt;reports/spmw_conv_4096_pnr_trim/util_synth.rpt;reports/spmw_conv_4096_pnr_trim/timing.rpt;reports/spmw_conv_4096_pnr_trim/route.rpt;reports/spmw_conv_4096_pnr_trim/util_hier.rpt;reports/spmw_conv_4096_pnr_trim/vivado_pnr.log;reports/spmw_conv_4096_pnr_trim/assemble_pnr.tcl;reports/spmw_conv_4096_pnr_trim/clock.xdc,
spmw_conv_6_cosim_s0,E6,SPMW conventional,conventional_2pass,6,2,1,16,16,cosim,300,ok,True,59,76,12.6667,,,,,,,,,119.4,291.0,reports/spmw_conv_6_cosim_s0/run.json;validation/spmw_conv_6_cosim_s0,
spmw_conv_6_cosim_s1,E6,SPMW conventional,conventional_2pass,6,2,1,16,16,cosim,300,ok,True,59,76,12.6667,,,,,,,,,119.4,291.0,reports/spmw_conv_6_cosim_s1/run.json;validation/spmw_conv_6_cosim_s1,
