run_id,experiment_id,system,workload,numeric_semantics,implementation_mode,target_mhz,status,validation_pass,reps,launches_per_block,device_kernel_s_mean,device_kernel_s_best,transfer_s_mean,pack_s_mean,host_math_s_mean,wall_s_mean,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,hybrid,report_paths,failure_reason
e3_block_timed2,E3,SPMW mini-TPU (gptkern_302),"gpt2-medium one block, seq 128","int8 x int8 -> int32, host requantisation (see README)",board,300,pass,True,4,624,0.0727,0.0723,0.3718,4.644,0.053,13.08,132922,116913,304,187,0,0.016,0.0,"yes: LN/RMSNorm, RoPE, mask, GELU/SiLU-gate, residual, requantisation on the host",reports/e3_block_timed2_results.json,
e3_llama_dev,E3,SPMW mini-TPU (gptkern_302),"llama-7b one block, seq 128","int8 x int8 -> int32, host requantisation (see README)",board,300,pass,True,2,4064,0.7152,0.7046,2.3815,28.851,0.0388,138.06,132922,116913,304,187,0,0.016,0.0,"yes: LN/RMSNorm, RoPE, mask, GELU/SiLU-gate, residual, requantisation on the host",reports/e3_llama_dev_results.json,
