run_id,experiment_id,system,workload,numeric_semantics,array_shape,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,hls_wall_s,vivado_synth_s,place_s,route_s,total_wall_s,axi_masters,report_paths,failure_reason,bram_36k,bram_18k,unrouted_nets,cosim_latency_min,cosim_latency_avg,cosim_latency_max,cosim_interval_min,cosim_interval_avg,cosim_interval_max,cosim_wall_s,export_wall_s,opt_s,phys_opt_s,csim_wall_s,gen_wall_s
S4_tile_prev,E1,Allo,M=N=K=4,int8xint8->int32,4x4,cosim,300,functional_fail,False,,,,,,,,,,,44.995,,,,913,3: m_axi_gmem0(A) 8b; m_axi_gmem1(B) 8b; m_axi_gmem2(C) 32b,reports/S4_tile_prev/,"cosim status Fail; testbench: ERROR: A depth specification is required for MAXI interface port 'gmem0' for cosimulation. | E1 TB seed=0 A[min,max]=[-128,127] B[min,max]=[-128,127] | ERROR: [COSIM 212-359] Aborting co-simulation: C TB simulation failed, nonzero return value '1'. | ERROR: [COSIM 212-320] C TB testing failed, stop ; first_output_cycles not measured: the cosim report gives whole-kernel latency/interval only (no port-level trace)",,,,,,,,,,18.772,835.372,,,6.588,3
S4_tile_prev,E1,Allo,M=N=K=4,int8xint8->int32,4x4,impl,300,pass,,,,,3693,4459,16,3,0,0.625,0.0,44.995,69,216,43,913,3: m_axi_gmem0(A) 8b; m_axi_gmem1(B) 8b; m_axi_gmem2(C) 32b,reports/S4_tile_prev/,,0,3,0,,,,,,,18.772,835.372,16,,6.588,3
